Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5qZYayu6UjY2ZDByR4l3Sv,"desperation","i remember","lucy skye;Chill Space",2024-09-11,104197,8,false,thegoodfm,2024-09-13T12:42:49Z,"lo-fi","Chill Space Records",0.787,0.142,0,-19.155,1,0.0606,0.811,0.898,0.102,0.141,120.078,4
spotify:track:1jHELoLuwdjzDCwC9LPkl0,"the quiet","i remember","lucy skye;Chill Space",2024-09-11,104727,8,false,thegoodfm,2024-09-13T12:42:49Z,"lo-fi","Chill Space Records",0.553,0.13,11,-20.012,0,0.0422,0.95,0.873,0.103,0.128,110.262,4
spotify:track:45YjH1H14fELkyjPNXwrHz,"Fly High","Fly High","Sleepy Slim;One Million Flowers;Chill Space",2024-11-08,116869,11,false,thegoodfm,2024-11-08T15:19:17Z,"lo-fi beats,dark ambient,lo-fi,jazz beats","Chill Space Records",0.407,0.0039,0,-30.156,1,0.0533,0.942,0.962,0.0977,0.437,72.574,5
spotify:track:0itpOdIA9kPbcsSvcCFK4b,"hold me","hold me","lucy skye",2024-12-06,124912,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.655,0.146,1,-18.479,0,0.0321,0.933,0.934,0.0909,0.136,99.889,4
spotify:track:3F1of5uMWeT4rYWbgvoCDX,"care for me","hold me","lucy skye",2024-12-06,87306,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.696,0.104,9,-16.039,1,0.0397,0.743,0.824,0.111,0.137,109.995,4
spotify:track:5J4Ym6cFMH6GurM5VQdLk3,"touch me","hold me","lucy skye",2024-12-06,96000,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.716,0.0704,5,-20.765,1,0.0594,0.949,0.936,0.132,0.268,110.04,4
spotify:track:04EWkoxpEo5xLJG17CtHNR,"want me","hold me","lucy skye",2024-12-06,96000,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.742,0.0953,11,-19.839,1,0.0375,0.912,0.898,0.0828,0.0744,109.983,4
spotify:track:4CLm5K04IvR4CGgxQh04sZ,"need me","hold me","lucy skye",2024-12-06,112270,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.297,0.0738,6,-22.157,1,0.0458,0.942,0.925,0.0804,0.107,105.738,1
spotify:track:3aStUavrUpj7tZtMsondwC,"smile for me","hold me","lucy skye",2024-12-06,88041,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.651,0.0695,7,-18.011,1,0.0477,0.941,0.922,0.101,0.0681,120.156,4
spotify:track:4VwYmSPcjJxMWGD642e3b7,"dream of me","hold me","lucy skye",2024-12-06,96424,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.789,0.102,5,-20.491,1,0.0619,0.959,0.924,0.116,0.326,100.038,4
spotify:track:68qtrDJ3vH4tjYo57JDBqk,"take me home","hold me","lucy skye",2024-12-06,124800,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.564,0.093,9,-21.654,1,0.0326,0.967,0.898,0.0978,0.228,100.009,4
spotify:track:3lYqHGJub1pp5OYVaakYnX,"kiss me","hold me","lucy skye",2024-12-06,134537,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.626,0.0501,9,-19.747,1,0.0302,0.926,0.897,0.0956,0.0464,100.018,4
spotify:track:0j6UgLEjRFtjCjcHxm0Og2,"love me","hold me","lucy skye",2024-12-06,116000,8,false,thegoodfm,2024-12-06T20:39:09Z,"","Chill Space Records",0.635,0.141,5,-20.064,1,0.0377,0.978,0.927,0.0946,0.121,120.014,4
