Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5QoCBy9eUHYkeWpEpzAud9,"Konji Pesida Venaam","Sethupathi (Original Motion Picture Soundtrack)","Nivas K Prasanna;K. S. Chithra;Sriram Parthasarathy",2016-01-20,226784,66,false,,2025-01-27T04:58:19Z,"tamil pop,kollywood,malayalam pop,telugu pop,kannada pop,mollywood,tollywood,devotional,sandalwood","Think Music",0.756,0.661,2,-5.769,0,0.0972,0.187,0.00000626,0.0774,0.635,88.001,4
spotify:track:4qIMmEjV8gaEsfZML9LALx,"Bodhai Kaname - From ""Oh Manapenne""","Bodhai Kaname (From ""Oh Manapenne"")","Vishal Chandrashekhar;Anirudh Ravichander;Shashaa Tirupati",2021-07-30,261946,62,false,,2025-01-26T18:16:34Z,"tollywood,telugu pop,kollywood,tamil pop,tamil dance,tamil hip hop,hindi pop,bollywood","Think Music",0.516,0.405,7,-12.327,1,0.0424,0.152,0.00000344,0.154,0.267,160.047,3
spotify:track:066zM9sFYBE7Byy1UsRwiB,"Anthimaalai Neram","Monster (Original Motion Picture Soundtrack)","Justin Prabhakaran;Sid Sriram",2019-05-08,237792,51,false,,2025-01-26T18:00:33Z,"tollywood,telugu pop,mollywood,malayalam pop,tamil pop,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.617,0.412,4,-9.578,1,0.128,0.562,0,0.203,0.66,139.875,4
spotify:track:3oevWl5n6IDVEwaXWeUiRQ,"Paadha Kolusu","Thirumathi Palanisamy","S. P. Balasubrahmanyam",1992-10-25,305606,41,false,,2025-01-26T16:14:12Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood","Music Masters Audio Video LLP",0.621,0.369,2,-11.737,1,0.0912,0.536,0,0.0572,0.879,127.467,3
spotify:track:3jixbQHg5vDuZRNqzordcI,"Chillanjirukkiye (From ""Lubber Pandhu"")","Chillanjirukkiye (From ""Lubber Pandhu"")","Sean Roldan;Pradeep Kumar;Sivaangi Krishnakumar",2023-11-10,247448,65,false,,2025-01-26T14:46:56Z,"tamil pop,kollywood,tamil indie,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.559,0.496,10,-10.34,0,0.0667,0.531,0,0.09,0.531,117.63,3
spotify:track:7jUczfUWKAfcKSQP2N8ugb,"Local Boys","Ethir Neechal (Original Motion Picture Soundtrack)","Anirudh Ravichander;Dhanush;Velmurugan;R.S. Durai Senthilkumar",2012-12-15,274426,58,false,,2025-01-26T14:34:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.68,0.86,1,-4.061,1,0.0497,0.0182,0,0.563,0.565,90.015,4
spotify:track:0J3dPoXA9jf2cGpmIuUphf,"Paakaadhae Paakaadhae","Varuthapadatha Vaalibar Sangam (Original Motion Picture Soundtrack)","D. Imman;Vijay Yesudas;Pooja AV;Yugabharathi",2013-07-15,275173,56,false,,2025-01-26T14:14:29Z,"tamil pop,tamil dance,kollywood,kannada pop,malayalam pop,mollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.701,0.688,7,-4.796,1,0.0508,0.444,0,0.0837,0.521,79.992,4
spotify:track:0nSZgFoPmko4OLfTNaHdCF,"Yedhedho Pennae","Meendum Oru Kadhal Kadhai (Original Motion Picture Soundtrack)","G. V. Prakash;Ajesh;Harini;Na.Muthukumar",2016-04-08,279744,56,false,,2025-01-26T09:36:01Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.47,0.372,9,-8.374,0,0.0313,0.763,0.000347,0.497,0.553,107.012,4
spotify:track:2fYA7hgnj5IAgx7c6Rhn33,"Oorai Therinchikitten","Padikkathavan (Original Motion Picture Soundtrack)","K. J. Yesudas",1985,248607,0,false,,2025-01-26T09:15:56Z,"malayalam pop,devotional,mollywood,tamil pop","IMM",0.658,0.699,9,-7.989,0,0.0329,0.808,0.00000204,0.141,0.907,142.319,4
spotify:track:0AF6iFHTyT9JsV0cemNuVJ,"Ilamai Ennum Poonkaatru","Pagalil Oru Iravu","S. P. Balasubrahmanyam",1979-12-31,247041,53,false,,2025-01-26T08:36:16Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood","Saregama India Ltd",0.41,0.465,2,-6.802,0,0.0303,0.978,0.141,0.0741,0.459,141.344,4
